id, nombres, apellidos, carrera, promedio, genero_favorito, libro_favorito
37874201, Carlos Fernando Davar Hernandez, 3143488293, Sistemas, 0.8, Fantasia, Caidos
59337532, Haider Dalinar Alvarez Kholin, 3036096684, Enfermeria, 1.6, Distopia, Caidos
37088140, Yu Diego Pardo Beifong, 3031599152, Veterinaria, 4.6, Drama, Elantris
82992573, Johan Jose Pardo Silva, 3186185056, Biologia, 3.8, Romance, Elantris
57397687, Fernando Dalinar Robayo Rodriguez, 304959961, Ambiental, 2.3, Distopia, Divergente
11508302, Samuel Richard Robayo Uribe, 3138054701, Ambiental, 3.0, Fantasia, Cuatro
63076804, Santiago Samuel Silva Duque, 3146135155, Electronica, 0.7, Romance, Caidos
81383667, Yu Jose Davar Davar, 3152662388, Pedagogia, 1.4, Misterio, Mistborn
86079845, Kaladin Jose Diaz Uribe, 3043939741, Biologia, 1.9, Drama, Lux
81088023, Richard Alejandro Sato Silva, 3187241903, Mercadeo, 4.9, Drama, Juramentada
54040434, Dalinar Brayan Barreto Polo, 3003325905, Sistemas, 0.9, Distopia, Leal
48635171, Johan Richard Uribe Alvarez, 313195385, Economia, 2.0, Fantasia, Elantris
99959817, Samuel Samuel Polo Medina, 3029065888, Biologia, 0.4, Misterio, Leal
4191279, Rodolfo Andres Robayo Alvarez, 3157687142, Procesos, 1.9, Fantasia, Cuatro
39076964, Haider Adolin Polo Beifong, 3027824315, Pedagogia, 0.1, Drama, Leal
58408298, Felipe Santiago Kholin Carvajal, 3173875733, Procesos, 2.5, Misterio, Divergente
62595997, Rodolfo Adonalsium Sato Duque, 3181278143, Mercadeo, 3.0, Romance, Juramentada
13704700, Rodrigo Andres Hernandez Pardo, 3083224842, Procesos, 1.5, Distopia, Alone
36092885, Carlos Haider Duarte Rodriguez, 3123474753, Sistemas, 4.5, Romance, Divergente
86805595, Rodrigo Fernando Sato Carvajal, 3070046999, Veterinaria, 4.3, Fantasia, Cuatro
96585494, Brayan Andres Pardo Barreto, 318662626, Veterinaria, 4.6, Fantasia, Elantris
6993770, Dalinar Rodrigo Uribe Carvajal, 3018509175, Enfermeria, 3.6, Distopia, Cuatro
70923498, Andres Alejandro Rodriguez Duarte, 3040195711, Mercadeo, 1.6, Romance, Elantris
3195564, Richard Carlos Polo Pardo, 316860405, Biologia, 3.4, Drama, Divergente
94413206, Dalinar Andres Duarte Sato, 3035296272, Veterinaria, 0.6, Fantasia, Caidos
47125862, Kaladin Diego Sato Hernandez, 3145587799, Biologia, 4.7, Misterio, Elantris
96992330, Santiago Adolin Duarte Alvarez, 3006945272, Enfermeria, 3.4, Fantasia, Divergente
83822775, Kaladin Adonalsium Hernandez Olarte, 3103569263, Enfermeria, 2.3, Distopia, Caidos
27119343, Kaladin Samuel Barreto Uribe, 3073931201, Electronica, 4.5, Distopia, Caidos
35940743, Samuel Felipe Rodriguez Suarez, 3127225384, Economia, 0.8, Misterio, Cuatro
30627877, Brayan Brayan Kholin Hernandez, 3099107287, Electronica, 4.2, Romance, Dark
35526237, Adolin Brayan Pardo Davar, 3147067309, Economia, 0.2, Misterio, Mistborn
69005745, Fernando Andres Uribe Uribe, 314791356, Electronica, 4.4, Romance, Juramentada
45344382, Jose Alejandro Suarez Kholin, 3148134662, Pedagogia, 0.1, Distopia, Mistborn
37526407, Fernando Alejandro Diaz Polo, 3025136740, Procesos, 1.7, Fantasia, Caidos
49791411, Yu Brayan Beifong Kholin, 3102637901, Economia, 2.2, Drama, Juramentada
65995392, Yu Felipe Hernandez Alvarez, 3128313604, Veterinaria, 0.5, Misterio, Mistborn
28697038, Andres Brayan Barreto Pardo, 3018081149, Enfermeria, 0.5, Fantasia, Lux
64348125, Dalinar Alejandro Olarte Uribe, 3154375197, Ambiental, 2.7, Drama, Lux
86289113, Adonalsium Jose Pardo Suarez, 3049462427, Ambiental, 4.9, Drama, Dark
46249174, Johan Samuel Suarez Robayo, 3198463966, Ambiental, 4.8, Romance, Juramentada
71732219, Adolin Richard Polo Suarez, 3107069770, Mercadeo, 0.6, Romance, Leal
59927157, Dalinar Adonalsium Beifong Pardo, 3055956081, Enfermeria, 2.8, Misterio, Elantris
70034298, Yu Yu Medina Duarte, 3118211611, Mercadeo, 1.1, Distopia, Caidos
47189440, Samuel Brayan Uribe Robayo, 3116641762, Biologia, 2.5, Drama, Dark
60139708, Brayan Brayan Uribe Sato, 3147443573, Pedagogia, 1.4, Romance, Mistborn
5877350, Samuel Yu Hernandez Beifong, 3146576186, Enfermeria, 2.2, Drama, Lux
66800304, Samuel Jose Alvarez Rodriguez, 3196191803, Procesos, 0.2, Misterio, Juramentada
33497958, Haider Dalinar Rodriguez Alvarez, 3081818656, Sistemas, 4.8, Drama, Cuatro
893287, Santiago Adonalsium Hernandez Kholin, 3120071404, Sistemas, 2.7, Fantasia, Dark
85509763, Rodolfo Santiago Rodriguez Pardo, 3113836699, Enfermeria, 5.0, Drama, Leal
19360016, Adonalsium Rodrigo Barreto Pardo, 300047896, Pedagogia, 1.3, Misterio, Dark
10707678, Andres Santiago Sato Barreto, 3194671707, Pedagogia, 4.2, Fantasia, Caidos
78048350, Dalinar Johan Duarte Uribe, 3185837988, Sistemas, 4.1, Romance, Caidos
92299321, Haider Johan Rodriguez Robayo, 3116174372, Pedagogia, 0.6, Drama, Mistborn
4794129, Santiago Samuel Sato Diaz, 3033146414, Procesos, 4.5, Distopia, Mistborn
